img,Prediction,,,
4338,0.242947,,0,482
3611,0.996619,1 243600,1,
2119,0.203605,,0,
189,0.965975,1 243600,1,
1141,0.00222109,,0,
4913,0.0615955,,0,
4921,0.0117956,,0,
1778,0.0036598,,0,
430,0.144394,,0,
1282,0.00545631,,0,
2544,0.0401805,,0,
2189,0.847463,,0,
1246,0.501017,,0,
1823,0.278288,,0,
5119,0.780278,,0,
881,0.117319,,0,
2004,0.00938176,,0,
3193,0.2124,,0,
527,0.420459,,0,
2399,0.151392,,0,
507,0.914205,1 243600,1,
1559,0.998869,1 243600,1,
2620,0.076456,,0,
2114,0.084313,,0,
5381,0.509708,,0,
2875,0.102643,,0,
5374,0.208048,,0,
1727,0.0757595,,0,
1443,0.0266583,,0,
3898,0.0237939,,0,
872,0.112555,,0,
4608,0.880207,,0,
2068,0.249653,,0,
3893,0.324138,,0,
1933,0.0283009,,0,
4527,0.783049,,0,
5070,0.115271,,0,
2943,0.852994,,0,
3496,0.0711874,,0,
994,0.166471,,0,
2444,0.561742,,0,
2614,0.886988,,0,
3073,0.981933,1 243600,1,
2425,0.528266,,0,
2730,0.564705,,0,
2101,0.102995,,0,
544,0.213301,,0,
405,0.0185526,,0,
2700,0.593332,,0,
4267,0.618079,,0,
5398,0.00601253,,0,
2249,0.186525,,0,
468,0.00274967,,0,
2153,0.0456149,,0,
1249,0.0832838,,0,
4330,0.0362986,,0,
3641,0.835014,,0,
1023,0.361421,,0,
4306,0.863521,,0,
4229,0.338899,,0,
59,0.30225,,0,
632,0.96967,1 243600,1,
1505,0.846788,,0,
2767,0.14019,,0,
4631,0.970619,1 243600,1,
1027,0.921984,1 243600,1,
4072,0.994738,1 243600,1,
1268,0.669104,,0,
3707,0.175958,,0,
1781,0.563297,,0,
4480,0.054323,,0,
5393,0.214539,,0,
2451,0.142245,,0,
799,0.408962,,0,
1464,0.396155,,0,
3132,0.834171,,0,
575,0.115765,,0,
2862,0.12129,,0,
357,0.162823,,0,
257,0.827185,,0,
1713,0.00254065,,0,
2769,0.379892,,0,
667,0.554893,,0,
738,0.089612,,0,
2297,0.992543,1 243600,1,
55,0.0837573,,0,
4709,0.104926,,0,
1816,0.00699782,,0,
4562,0.302687,,0,
3725,0.223366,,0,
3515,0.000602103,,0,
5202,0.0265595,,0,
273,0.622478,,0,
4049,0.321438,,0,
5414,0.0939246,,0,
676,0.850514,,0,
2098,0.00286715,,0,
1530,0.104483,,0,
203,0.99861,1 243600,1,
3930,0.985116,1 243600,1,
3367,0.531405,,0,
938,0.458712,,0,
457,0.0505828,,0,
1646,0.855103,,0,
2333,0.960108,1 243600,1,
4542,0.147186,,0,
1631,0.681119,,0,
5253,0.954336,1 243600,1,
1197,0.110891,,0,
789,0.379053,,0,
1334,0.354001,,0,
2181,0.210675,,0,
4594,0.0166801,,0,
3224,0.650576,,0,
